id, created_time, status_type,link, likes, shares, comments
153080620724_10156886597880725, 2016-04-04T16:31:29+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156886597880725/?type=3,4061, 244, 500
153080620724_10156886297670725, 2016-04-04T15:12:09+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156886297670725/,17292, 5394, 2301
153080620724_10156882133730725, 2016-04-04T14:15:06+0000, shared_story, http://nationalinterest.org/blog/theskeptics/ittimeamericaquitnato15615,18832, 3224, 2475
153080620724_10156882135270725, 2016-04-04T11:12:02+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156882135270725/?type=3,50986, 3868, 3274
153080620724_10156884491900725, 2016-04-04T04:50:22+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.10151443611915725.833012.153080620724/10156884491825725/?type=3,40246, 2454, 2740
153080620724_10156884488685725, 2016-04-04T04:48:57+0000, mobile_status_update, null,31035, 1083, 2346
153080620724_10156883852800725, 2016-04-04T01:32:42+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156883852800725/?type=3,40270, 2693, 3526
153080620724_10156882972940725, 2016-04-03T21:45:00+0000, shared_story, http://www.jsonline.com/news/statepolitics/donaldtrumpatmilwaukeedinerpredictssurprisewininwisconsinb99699270z1374414601.html,65593, 3164, 5191
153080620724_10156882124280725, 2016-04-03T19:30:56+0000, shared_story, http://www.breitbart.com/2016presidentialrace/2016/04/02/concernspaulryanemergingtedcruzcreatedcontestedconventionnomineedominatewisconsin/,26870, 3110, 4917
153080620724_10156881946505725, 2016-04-03T18:00:00+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156881946505725/,44025, 9465, 3550
153080620724_10156881962720725, 2016-04-03T17:04:24+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156881962720725/?type=3,45873, 1910, 3490
153080620724_10156881725615725, 2016-04-03T15:51:56+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156881725615725/?type=3,83446, 8009, 7543
153080620724_10156880944480725, 2016-04-03T12:15:54+0000, shared_story, http://www.politico.com/story/2016/04/democratspowerhillaryclintonadministration221308,35409, 3564, 4483
153080620724_10156879959390725, 2016-04-03T05:44:31+0000, mobile_status_update, null,101797, 4387, 6547
153080620724_10156879574050725, 2016-04-03T03:28:07+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156879574050725/?type=3,71918, 3333, 4037
153080620724_10156878704505725, 2016-04-02T23:15:11+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156878704505725/?type=3,49738, 3295, 3835
153080620724_10156878557215725, 2016-04-02T22:30:24+0000, shared_story, http://nypost.com/2016/04/02/whoarethewomenbackingdonaldtrump/,86603, 6194, 10499
153080620724_10156878434490725, 2016-04-02T21:27:19+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156878434490725/?type=3,121482, 6350, 5761
153080620724_10156877961190725, 2016-04-02T19:24:15+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156877961190725/,19394, 3551, 2024
153080620724_10156877756680725, 2016-04-02T17:55:33+0000, shared_story, https://www.facebook.com/sarahpalin/photos/a.10150723283643588.424640.24718773587/10154107475738588/?type=3,4543, 2, 895
153080620724_10156877571155725, 2016-04-02T16:54:29+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156877571155725/?type=3,65448, 6904, 8429
153080620724_10156876749790725, 2016-04-02T11:46:05+0000, shared_story, http://www.latimes.com/local/california/lametrumpcollegestudents20160402story.html,62978, 5722, 4082
153080620724_10156875655425725, 2016-04-02T03:07:05+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.10151443611915725.833012.153080620724/10156875655385725/?type=3,43429, 1528, 3748
153080620724_10156874342605725, 2016-04-01T20:30:31+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156874342605725/,45020, 10704, 6730
153080620724_10156873806280725, 2016-04-01T18:42:21+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156873806280725/,25132, 4664, 9098
153080620724_10156872949275725, 2016-04-01T17:30:21+0000, shared_story, http://www.breitbart.com/video/2016/03/31/natlborderpatrolcouncilvpimmigrationlawsbeingcarvedoutagentsbasicallylettingeveryonewecatchout/,58646, 6791, 3162
153080620724_10156871418500725, 2016-04-01T15:00:03+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156871418500725/?type=3,77313, 13184, 7973
153080620724_10156871373355725, 2016-04-01T11:00:17+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156871373355725/?type=3,89469, 8053, 6227
153080620724_10156870544935725, 2016-04-01T02:10:39+0000, shared_story, https://instagram.com/p/BDo7SimhUn/,71035, 5524, 5620
153080620724_10156869991380725, 2016-04-01T00:40:21+0000, shared_story, https://www.facebook.com/CSPAN/videos/10153588193840579/,40289, 1, 3695
153080620724_10156869239070725, 2016-03-31T22:13:17+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156869239070725/?type=3,121219, 13400, 8433
153080620724_10156868556405725, 2016-03-31T20:19:59+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156868556405725/?type=3,100103, 10515, 12863
153080620724_10156868167880725, 2016-03-31T19:13:38+0000, mobile_status_update, null,67603, 3969, 6366
153080620724_10156867909880725, 2016-03-31T18:34:34+0000, mobile_status_update, null,74404, 2090, 3987
153080620724_10156867196560725, 2016-03-31T17:00:27+0000, shared_story, http://www.mcall.com/news/nationworld/pennsylvania/mcpavotersswitchpartyrecord20160330story.html,90168, 8212, 7452
153080620724_10156866262880725, 2016-03-31T14:45:50+0000, shared_story, http://on.wsj.com/1ojMSFO,96627, 4381, 6156
153080620724_10156866194350725, 2016-03-31T13:00:01+0000, shared_story, http://nationalinterest.org/feature/thetrumpdoctrinepeacethroughstrength15631,72209, 7489, 5994
153080620724_10156863061675725, 2016-03-31T11:00:01+0000, shared_story, http://www.cnn.com/2016/03/30/politics/trumpmisswisconsinemotionalmoment/index.html?sr=twCNN033016trumpmisswisconsinemotionalmoment0214PMStoryLinklinkId=22869280,27340, 2168, 2312
153080620724_10156863294495725, 2016-03-30T23:26:14+0000, shared_story, https://www.facebook.com/DonaldTrump/videos/10156689716915725/,81154, 5, 9448
153080620724_10156862675620725, 2016-03-30T21:14:39+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156862675620725/?type=3,95822, 8439, 6384
153080620724_10156861897560725, 2016-03-30T18:45:58+0000, shared_story, https://www.facebook.com/IvankaTrump/photos/a.388300042681.168752.120745732681/10154117072782682/?type=3,116753, 1, 6516
153080620724_10156861405690725, 2016-03-30T16:34:30+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156861405690725/?type=3,146543, 18871, 8688
153080620724_10156860852430725, 2016-03-30T14:40:05+0000, shared_story, http://www.breitbart.com/biggovernment/2016/03/30/breakingnationalborderpatrolcouncilendorsestrumpforpresident/,183131, 23000, 7491
153080620724_10156860318750725, 2016-03-30T12:11:02+0000, shared_story, https://www.facebook.com/DanScavino/videos/1721454841403578/,66127, 8, 4834
153080620724_10156857689790725, 2016-03-30T02:16:56+0000, shared_story, http://www.petersenshunting.com/conservationpolitics/whysportsmenshouldvotefordonaldtrump/,47441, 4686, 3466
153080620724_10156856450385725, 2016-03-30T01:00:10+0000, shared_story, https://www.facebook.com/OutFrontCNN/videos/808749155897311/,35766, 5, 4940
153080620724_10156857342585725, 2016-03-29T23:44:27+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156857342585725/?type=3,66114, 3303, 4704
153080620724_10156856500005725, 2016-03-29T21:00:25+0000, shared_story, https://instagram.com/p/BDjPhcfGhbW/,88639, 3085, 6809
153080620724_10156856242790725, 2016-03-29T19:52:18+0000, mobile_status_update, null,83356, 2700, 10882
153080620724_10156855317840725, 2016-03-29T16:50:47+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156855317840725/?type=3,121426, 16510, 8871
153080620724_10156854871545725, 2016-03-29T15:05:26+0000, mobile_status_update, null,34666, 2877, 3588
153080620724_10156854139995725, 2016-03-29T12:12:52+0000, mobile_status_update, null,80559, 4985, 6849
153080620724_10156852106810725, 2016-03-29T02:30:51+0000, mobile_status_update, null,110915, 6940, 7159
153080620724_10156851268530725, 2016-03-29T00:45:07+0000, shared_story, http://nypost.com/2016/03/26/fightisisorwestopbuyingoiltrumpwouldconsiderendingpurchasesfromsaudiarabia/,58520, 5550, 5068
153080620724_10156851000155725, 2016-03-28T22:43:17+0000, shared_story, http://www.usatoday.com/story/news/politics/elections/2016/03/28/donaldtrumprepublicanestablishmentnortheastpennsylvania/82337778/,49874, 3693, 4106
153080620724_10156849889185725, 2016-03-28T20:30:06+0000, shared_story, http://www.dailymail.co.uk/news/article3512288/ISIScarriesGoodFridaycrucifixionIndianCatholicpriestYemenkidnappedthreeweeksago.html,48827, 15777, 9111
153080620724_10156850043460725, 2016-03-28T19:39:59+0000, mobile_status_update, null,69490, 10492, 6113
153080620724_10156849610990725, 2016-03-28T18:07:15+0000, shared_story, http://www.politico.com/story/2016/03/fidelcastroobama221279,46801, 5372, 7709
153080620724_10156848959155725, 2016-03-28T15:45:55+0000, shared_story, http://www.thegatewaypundit.com/2016/03/kirstenpowersantitrumpoperativeaggressivelyshoppingcruzsexscandalvideo/,15395, 2423, 2685
153080620724_10156842712935725, 2016-03-28T12:00:48+0000, mobile_status_update, null,69141, 3295, 5161
153080620724_10156845093060725, 2016-03-28T10:30:53+0000, mobile_status_update, null,56318, 2229, 4188
153080620724_10156845093060725, 2016-03-28T10:30:53+0000, mobile_status_update, null,56318, 2229, 4188
153080620724_10156845922815725, 2016-03-28T02:17:45+0000, shared_story, https://www.facebook.com/IvankaTrump/photos/a.388300042681.168752.120745732681/10154109187162682/?type=3,399975, 7, 34587
153080620724_10156844556460725, 2016-03-27T22:18:04+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156844556460725/,22576, 3005, 3552
153080620724_10156843797860725, 2016-03-27T20:10:06+0000, mobile_status_update, null,217368, 4464, 15685
153080620724_10156842701405725, 2016-03-27T18:30:33+0000, mobile_status_update, null,133902, 6004, 14783
153080620724_10156842690090725, 2016-03-27T16:54:57+0000, shared_story, http://nypost.com/2016/03/26/fightisisorwestopbuyingoiltrumpwouldconsiderendingpurchasesfromsaudiarabia/,137591, 13985, 10229
153080620724_10156841583755725, 2016-03-27T13:31:03+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.10151443611915725.833012.153080620724/10156841583485725/?type=3,129021, 6013, 8875
153080620724_10156838069015725, 2016-03-27T00:39:36+0000, mobile_status_update, null,193312, 16180, 15777
153080620724_10156836395520725, 2016-03-26T21:45:08+0000, shared_story, http://thehill.com/opinion/abstoddard/274103abstoddardhowthedonaldcanwin,57547, 3585, 4710
153080620724_10156836399595725, 2016-03-26T19:42:51+0000, mobile_status_update, null,228186, 13013, 12247
153080620724_10156831961580725, 2016-03-26T17:00:58+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156831961580725/?type=3,121005, 10937, 9265
153080620724_10156832020610725, 2016-03-26T14:30:54+0000, mobile_status_update, null,56304, 3667, 5821
153080620724_10156831895100725, 2016-03-26T11:30:51+0000, shared_story, http://www.politico.com/story/2016/03/2016republicanpolltrumpcruzkasich221111,101219, 6961, 7111
153080620724_10156831870180725, 2016-03-26T02:15:06+0000, shared_story, https://instagram.com/p/BDYtkdcmhZb/,66211, 5072, 4887
153080620724_10156830279930725, 2016-03-25T22:30:09+0000, shared_story, http://bit.ly/25oJHyjTRUMP2016,71477, 6312, 6476
153080620724_10156829071580725, 2016-03-25T17:27:25+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156829071580725/,127888, 12824, 7369
153080620724_10156828392265725, 2016-03-25T15:04:16+0000, mobile_status_update, null,92908, 6089, 5061
153080620724_10156827234885725, 2016-03-25T11:00:19+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156827234885725/?type=3,61545, 7661, 7152
153080620724_10156825828300725, 2016-03-25T04:11:07+0000, mobile_status_update, null,95396, 5067, 9316
153080620724_10156824815450725, 2016-03-25T01:30:21+0000, shared_story, https://www.facebook.com/FoxNews/videos/10154153972106336/,52324, 16, 5929
153080620724_10156824515590725, 2016-03-24T23:53:02+0000, mobile_status_update, null,98381, 6911, 20572
153080620724_10156823927765725, 2016-03-24T22:01:28+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156823927765725/?type=3,85860, 8465, 6335
153080620724_10156823225820725, 2016-03-24T19:50:20+0000, shared_story, https://www.facebook.com/FoxBusiness/videos/10154020396340238/,32710, 13, 5182
153080620724_10156822760425725, 2016-03-24T17:57:34+0000, mobile_status_update, null,125406, 15893, 11073
153080620724_10156822182390725, 2016-03-24T15:57:43+0000, added_video, https://www.facebook.com/DonaldTrump/videos/10156822182390725/,29880, 7860, 5656
153080620724_10156821522675725, 2016-03-24T14:45:26+0000, mobile_status_update, null,47336, 4934, 4239
153080620724_10156821508015725, 2016-03-24T13:22:20+0000, shared_story, http://thehill.com/blogs/ballotbox/274054pollmajorityofrepublicanssaypartyshouldgetbehindtrumpatconvention,84015, 6013, 6045
153080620724_10156819927995725, 2016-03-24T10:45:23+0000, shared_story, http://www.niagaragazette.com/news/localnews/niagaracountygopendorsestrump/article5a256068affc54209e6a5e0f80a1049b.html,49950, 2560, 2761
153080620724_10156818521150725, 2016-03-24T01:09:08+0000, mobile_status_update, null,53163, 1523, 8069
153080620724_10156817463110725, 2016-03-24T00:01:02+0000, mobile_status_update, null,81379, 4540, 8211
153080620724_10156817736960725, 2016-03-23T23:45:48+0000, shared_story, http://hosted.ap.org/dynamic/stories/U/USCONGRESSGUANTANAMO?SITE=APSECTION=HOMETEMPLATE=DEFAULTCTIME=20160323125840,31532, 2491, 2277
153080620724_10156817293160725, 2016-03-23T22:00:12+0000, shared_story, http://blogs.spectator.co.uk/2016/03/aterroristattackhashappenedineuropeletthestandardresponsebegin/,37829, 2902, 3032
153080620724_10156816869320725, 2016-03-23T20:02:56+0000, shared_story, http://bit.ly/1o789T7Trump2016,71351, 11636, 8428
153080620724_10156816783435725, 2016-03-23T19:48:54+0000, mobile_status_update, null,59114, 3708, 6215
153080620724_10156816405945725, 2016-03-23T18:29:05+0000, added_photos, https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10156816405945725/?type=3,241274, 18101, 11490
153080620724_10156815951310725, 2016-03-23T17:15:50+0000, mobile_status_update, null,81427, 5986, 5328
