id, created_time, status_type,link, likes, shares, comments
77590795932_10153366788680933, 2016-04-04T14:07:52+0000, shared_story, https://www.facebook.com/JohnKasich/videos/10153350650830933/,931, null, 263
77590795932_10153365007560933, 2016-04-03T17:31:29+0000, mobile_status_update, null,1525, 63, 401
77590795932_10153364494420933, 2016-04-03T12:54:07+0000, shared_story, https://www.washingtonpost.com/news/factchecker/wp/2016/04/02/trumpsnonsensicalclaimhecaneliminate19trillionindebtineightyears/,1620, 324, 688
77590795932_10153363336030933, 2016-04-02T22:21:46+0000, shared_story, http://www.nytimes.com/politics/firstdraft/2016/04/02/donaldtrumptellscrowdhedbefineifnatobrokeup/,798, 92, 504
77590795932_10153363015160933, 2016-04-02T19:40:40+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153363015160933/,900, 134, 1239
77590795932_10153362838155933, 2016-04-02T17:23:53+0000, shared_story, http://www.barrons.com/articles/kasichthebestpickformarketsandtheeconomy1459570659,2096, 438, 252
77590795932_10153362573655933, 2016-04-02T15:08:35+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153362573655933/,1065, 181, 1306
77590795932_10153362458160933, 2016-04-02T14:00:19+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153362458160933/?type=3,2274, 422, 333
77590795932_10153361007490933, 2016-04-01T22:30:00+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153360998175933/?type=3,1505, 95, 379
77590795932_10153360996065933, 2016-04-01T20:07:15+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153360996065933/?type=3,1062, 188, 253
77590795932_10153360315390933, 2016-04-01T14:38:22+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153360315390933/,1130, 258, 1068
77590795932_10153359057640933, 2016-04-01T03:02:18+0000, shared_story, http://johnkasich.com/Deadline,411, 23, 340
77590795932_10153358333015933, 2016-03-31T23:10:00+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153358333015933/,2193, 621, 1427
77590795932_10153357755630933, 2016-03-31T18:43:21+0000, shared_story, http://www.jsonline.com/news/opinion/onlyjohnkasichcanbeathillaryclintonthisfallb99697922z1374145721.html,2148, 284, 562
77590795932_10153356904580933, 2016-03-31T13:18:08+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153356904580933/,4435, 2657, 1076
77590795932_10153356716140933, 2016-03-31T11:21:55+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153356716140933/?type=3,8132, 3071, 901
77590795932_10153355408490933, 2016-03-31T01:42:17+0000, shared_story, https://www.facebook.com/MeetThePress/videos/10154153406637871/,1431, null, 328
77590795932_10153354807280933, 2016-03-30T22:00:01+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153354807280933/?type=3,834, 138, 305
77590795932_10153354756005933, 2016-03-30T20:44:22+0000, shared_story, http://www.gallup.com/poll/190373/americansviewstrumpcruznewlowsmarch.aspx?gsource=Election2016gmedium=newsfeedgcampaign=tiles,5364, 1022, 498
77590795932_10153354486260933, 2016-03-30T19:51:00+0000, shared_story, https://www.johnkasich.com/blogposts/whyonlyjohnkasichcanwininnovember/,1123, 202, 248
77590795932_10153354298695933, 2016-03-30T18:09:35+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153354298695933/,1751, 577, 296
77590795932_10153354037545933, 2016-03-30T15:48:20+0000, shared_story, http://johnkasich.com/nationalsecuritygroup/,1573, 187, 219
77590795932_10153353868005933, 2016-03-30T14:25:38+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153353868005933/,2246, 445, 311
