id, created_time, status_type,link, likes, shares, comments
124955570892789_1022091964512474, 2016-04-04T16:01:45+0000, shared_story, http://www.jsonline.com/news/opinion/berniesandersisrightmakepubliccollegestuitionfreeb99699614z1374488531.html,1476, null, 104
124955570892789_1021772267877777, 2016-04-04T13:52:00+0000, shared_story, https://www.facebook.com/WesternStatesforBernie/videos/241451349537323/,6408, null, 191
124955570892789_1021780391210298, 2016-04-04T09:05:00+0000, shared_story, https://www.facebook.com/southeastforbernie/photos/a.1492176164416302.1073741829.1489555941344991/1549400958693822/?type=3,19333, 1, 589
124955570892789_1021775384544132, 2016-04-04T06:54:00+0000, shared_story, https://www.facebook.com/MidwestForBernie/photos/a.311015979022759.1073741831.307653789358978/351266638331026/?type=3,6660, 1, 175
124955570892789_1021767961211541, 2016-04-04T03:54:02+0000, shared_story, https://www.facebook.com/events/976738295751005/,8376, 1, 282
124955570892789_1021638714557799, 2016-04-04T00:51:00+0000, shared_story, http://www.huffingtonpost.com/robertreich/whythemajormediamargib9582644.html,25497, 3789, 938
124955570892789_1021593601228977, 2016-04-03T21:47:00+0000, added_video, https://www.facebook.com/berniesanders/videos/1021593601228977/,14890, 5543, 656
124955570892789_1021513827903621, 2016-04-03T18:07:59+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1021513827903621/?type=3,56718, 15299, 1529
124955570892789_1021374851250852, 2016-04-03T14:25:25+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1021374851250852/?type=3,20681, 3551, 745
124955570892789_1021033164618354, 2016-04-03T02:11:38+0000, shared_story, https://go.berniesanders.com/page/event/detail/rally/44zbm,21415, 1869, 747
124955570892789_1020818034639867, 2016-04-02T17:33:39+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1020818034639867/?type=3,92643, 20572, 2002
124955570892789_1020664514655219, 2016-04-02T13:21:00+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1020664514655219/?type=3,61310, 18008, 2130
124955570892789_1020452128009791, 2016-04-02T02:54:32+0000, shared_story, https://www.facebook.com/MidwestForBernie/videos/350812111709812/,23126, 1, 797
124955570892789_1020312074690463, 2016-04-01T23:07:22+0000, added_video, https://www.facebook.com/berniesanders/videos/1020312074690463/,30263, 10279, 1165
124955570892789_1020127788042225, 2016-04-01T19:11:02+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1020127788042225/?type=3,12560, 4430, 654
124955570892789_1020054311382906, 2016-04-01T16:58:36+0000, shared_story, https://www.facebook.com/NowThisElection/videos/1144694065562082/,8212, 1, 389
