id, created_time, status_type,link, likes, shares, comments
889307941125736_1116535701736291, 2016-04-04T15:58:54+0000, shared_story, http://www.msnbc.com/msnbcnews/watch/supremecourtrulesononemanonevoteissue658485827550,3776, 377, 393
889307941125736_1116151078441420, 2016-04-04T00:47:28+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1116151078441420/,16854, 1889, 2330
889307941125736_1116086301781231, 2016-04-03T22:59:51+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.1116086241781237.1073741852.889307941125736/1116086301781231/?type=3,18723, 1160, 1224
889307941125736_1115941028462425, 2016-04-03T18:11:06+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1115941028462425/?type=3,6136, 875, 1294
889307941125736_1115843845138810, 2016-04-03T15:26:48+0000, shared_story, http://hrc.io/1UBovl8,13208, 883, 1233
889307941125736_1115399258516602, 2016-04-03T00:00:01+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1115399258516602/,7229, 768, 1622
889307941125736_1115355101854351, 2016-04-02T21:28:00+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1115355101854351/,5486, 1295, 1556
889307941125736_1115291721860689, 2016-04-02T20:21:01+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1115291721860689/,20925, 3937, 1917
889307941125736_1115257791864082, 2016-04-02T19:09:38+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1115257791864082/,12010, 1700, 1098
889307941125736_1115231518533376, 2016-04-02T18:12:49+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1115231518533376/,4772, 699, 1337
889307941125736_1115177335205461, 2016-04-02T16:38:53+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1115177335205461/?type=3,23223, 2353, 2148
889307941125736_1115064875216707, 2016-04-02T14:08:44+0000, shared_story, http://hrc.io/1RS5F90,10563, 627, 1142
889307941125736_1114720828584445, 2016-04-02T00:39:20+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1114720828584445/?type=3,69393, 2886, 3564
889307941125736_1114645158592012, 2016-04-01T22:52:49+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1114645158592012/?type=3,4640, 1002, 1521
889307941125736_1114578861931975, 2016-04-01T20:33:11+0000, shared_story, http://hrc.io/1VZ6VHo,29305, 2978, 1941
889307941125736_1114525421937319, 2016-04-01T19:15:04+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1114525421937319/?type=3,10622, 760, 1158
889307941125736_1114437348612793, 2016-04-01T17:35:14+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1114437348612793/,11369, 1841, 1505
889307941125736_1114376848618843, 2016-04-01T16:15:00+0000, shared_story, http://hrc.io/21WJ6PZ,3940, 358, 1176
889307941125736_1114341268622401, 2016-04-01T15:04:20+0000, shared_story, https://www.facebook.com/GovernorAndrewCuomo/photos/a.340271619337391.83885.177009292330292/1150986238265921/?type=3,4431, null, 698
889307941125736_1114280668628461, 2016-04-01T13:21:14+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1114280668628461/?type=3,23692, 1459, 1624
889307941125736_1113830368673491, 2016-04-01T02:45:00+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1113830368673491/,11427, 1519, 1452
889307941125736_1113828978673630, 2016-04-01T01:30:00+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1113828978673630/?type=3,15708, 3655, 1726
889307941125736_1113730362016825, 2016-04-01T00:30:00+0000, shared_story, http://hrc.io/1ZOEH1V,15987, 1121, 1140
889307941125736_1113752102014651, 2016-03-31T23:27:45+0000, shared_story, http://hrc.io/21VcrdB,8632, 621, 1280
889307941125736_1113702578686270, 2016-03-31T22:42:38+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1113702578686270/?type=3,9409, 1799, 777
889307941125736_1113590922030769, 2016-03-31T21:16:58+0000, shared_story, http://amsterdamnews.com/news/2016/mar/31/amsterdamnewsendorseshillaryclintonpresident/,35987, 2752, 2393
889307941125736_1113555735367621, 2016-03-31T21:05:58+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1113555735367621/?type=3,1761, 216, 466
